Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
GREENPLY,GREENPLY INDUSTRIES LTD,315.05,INR,-0.5052897520922046,44912,0.42283449369918397,39343535352,INR,42.79291516122898,7.3622,INR,30.853313900787377,0.158704967465482,Producer manufacturing,Strong buy
JISLDVREQS,JAIN DVR EQUITY SHARES,31.95,INR,-1.9035922628185475,44946,1.5698204412653285,39232677272,INR,66.86898283800754,0.4778,INR,-64.44940476190476,0,Producer manufacturing,
JISLJALEQS,JAIN IRRIGATION SYSTEMS,57.44,INR,-0.03480682213714432,2481715,0.638089290873599,39232677272,INR,120.21766429468396,0.4778,INR,-64.44940476190476,0,Producer manufacturing,
GANECOS,GANESHA ECOSPHERE LTD,1537.8,INR,0.8988911488747487,67937,1.0050788756940365,39203754692,INR,37.74696426335982,40.7397,INR,121.79110978033043,0.292207792207792,Process industries,Strong buy
SHANTIGEAR,SHANTHI GEARS LTD,506.95,INR,0.4159651381598427,42117,0.7541902442518444,39033027848,INR,40.49153747234403,12.5199,INR,16.77486149196934,0.982704402515723,Producer manufacturing,
HEMIPROP,HEMISPHERE PROP IND LTD,136.45,INR,-0.850167126871106,390257,1.206322407025199,38916750870,INR,,-0.2668,INR,22.5544267053701,0,Finance,
MSTCLTD,MSTC LTD,550.4,INR,2.590866728797759,543267,1.9620417742008882,38790400841,INR,8.713713967272911,63.1648,INR,117.58756579491279,8.25771324863884,Retail trade,
INTERARCH,INTERARCH BLDNG SOLTN LTD,2325.5,INR,2.372776897341085,43963,1.2926910308772115,38738921040,INR,34.56584231852004,67.2774,INR,,0,Producer manufacturing,Strong buy
RAMKY,RAMKY INFRA LTD,559.7,INR,0.547920596425055,82043,0.39781683929495315,38719623699,INR,19.609285769341266,28.5426,INR,-35.83106267029973,0,Industrial services,
VADILALIND,VADILAL INDUSTRIES LTD,5351.5,INR,-1.1361537040458156,11682,0.9033824643890066,38584271286,INR,25.58715626597255,209.1479,INR,3.0086308456692104,0.0279433681073025,Consumer non-durables,
CYIENTDLM,CYIENT DLM LTD,484.7,INR,0.9581337221412134,192144,1.3841721829973828,38471890545,INR,56.60201090701015,8.5633,INR,11.048720708570544,0,Electronic technology,Buy
ORCHPHARMA,ORCHID PHARMA LTD,756.05,INR,1.1370476891177848,163098,1.9115966540202038,38308139211,INR,38.469757951671745,19.6531,INR,8.82536975408791,0,Health technology,Strong buy
DATAMATICS,DATAMATICS GLOBAL SER LTD,647.2,INR,3.951172502409255,191925,2.7084294707608154,38303896554,INR,18.636688244373286,34.7272,INR,3.3329266732327416,0.771545405447111,Technology services,
JAYNECOIND,JAYASWAL NECO INDUSTR LTD,39.43,INR,1.3103802672147944,995024,0.658693293915959,38237911334,INR,33.88330325685314,1.1637,INR,-46.187283236994226,0,Producer manufacturing,
GUJTHEM,GUJARAT THEMIS BIOSYN LTD,350.25,INR,2.487198244330651,285654,1.1533518604578863,38186877877,INR,78.269905472748,4.4749,INR,-56.15551179173648,0.190232558139535,Health technology,
IMAGICAA,IMAGICAAWORLD ENT LTD,66.99,INR,-0.08948545861297878,467684,0.7707220414599032,37951033705,INR,45.952805597475646,1.4578,INR,-87.01592504186112,0,Consumer services,Strong buy
ROSSARI,ROSSARI BIOTECH LTD,685.35,INR,0.7349158521349306,77932,1.4370935054924587,37909503885,INR,27.829098838271662,24.6271,INR,4.307920372723419,0.0730246823426318,Process industries,Strong buy
