Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
UGROCAP,UGRO CAPITAL LTD,233.85,INR,-2.224359242379894,63832,0.5627068321382542,23043963455,INR,16.872294372294373,13.86,INR,38.179933003668836,0,Finance,Strong buy
ACCELYA,ACCELYA SOLN INDIA LTD,1502.05,INR,-1.5501081470800349,7029,0.22259520228010451,23015547340,INR,23.654256207067064,63.5002,INR,-24.26224502696733,4.21544,Technology services,
RAMCOIND,RAMCO INDUSTRIES LTD,263,INR,0.5928475807993925,130824,1.2184567927680905,22978359015,INR,17.448186184751744,15.0732,INR,33.090812767648224,0.28334,Non-energy minerals,
HIRECT,HIND RECTIFIER LTD,1264.3,INR,-3.248517313946818,24973,0.7187033237114826,22961944449,INR,91.48335745296671,13.82,INR,306.30328688187217,0.0896928,Producer manufacturing,
ATFL,AGRO TECH FOODS LTD,932.05,INR,-1.4016714270601927,10131,0.4533717594726549,22944880789,INR,534.4323394495412,1.744,INR,-76.82176415081801,0.318624,Process industries,Strong buy
JINDRILL,JINDAL DRILLING IND. LTD,741,INR,-2.6856655065992574,38928,0.3891710321110089,22912460033,INR,22.541021007866544,32.8734,INR,37.59511790853611,0.0632431,Industrial services,
RELTD,RAVINDRA ENERGY LTD,122.38,INR,-2.888430407871767,122204,1.6478447247097152,22863900925,INR,,-3.6466,INR,-346.4418463202,0,Utilities,
STANLEY,STANLEY LIFESTYLES LTD,383.4,INR,-3.4621679466196653,61711,1.0986528323989624,22821100000,INR,,,,,0,Consumer durables,
HINDWAREAP,HINDWARE HME INOVATON LTD,262.2,INR,-2.5278810408921975,57359,0.861567070020067,22781087284,INR,,-1.7444,INR,-126.71731172749692,0.14011,Producer manufacturing,Buy
NAVKARCORP,NAVKAR CORPORATION LTD.,142.45,INR,-3.1018298074960904,580363,0.4337948315626639,22766026020,INR,,-1.5227,INR,-144.49216923796166,0,Transportation,
MANINDS,MAN INDUSTRIES (I) LTD.,335.4,INR,-1.84372256365233,222386,0.732935356898381,22712339602,INR,20.576687116564415,16.3,INR,-13.686284062145868,0.570044,Producer manufacturing,Strong buy
PLATIND,PLATINUM INDUSTRIES LTD,384.7,INR,-3.3052658036948688,328232,1.2092302205874768,22700500000,INR,40.2852535237816,9.5494,INR,,0,Process industries,
LUMAXIND,LUMAX INDUSTRIES LTD,2439.55,INR,-0.9038102201641075,5539,2.303405830249096,22686946884,INR,18.374795975779964,132.7661,INR,24.529588487826658,1.44211,Producer manufacturing,Strong buy
JYOTISTRUC,JYOTI STRUCTURES LTD,24.52,INR,-3.8431372549019627,9328497,0.6532609918944136,22680331420,INR,70.80565983251516,0.3463,INR,86.68463611859838,0,Utilities,
WINDMACHIN,WINDSOR MACHINES LTD,340.5,INR,-3.840722959615934,130244,0.7846785140004543,22674185647,INR,,-5.5318,INR,-614.3468154346816,0.143184,Producer manufacturing,
ASTEC,ASTEC LIFESCIENCES LTD,1096.55,INR,-1.2028110640598375,16825,0.16471666286488534,22647213336,INR,,-52.8259,INR,-302.01135429667283,0.129893,Process industries,Sell
NITINSPIN,NITIN SPINNERS LTD,398.4,INR,0.17601206939904165,87551,0.8226366731092492,22625740178,INR,14.431749849669272,27.6058,INR,18.731048957665795,0.621195,Process industries,Strong buy
DOLPHIN,DOLPHIN OFF ENT (IND) L,557,INR,-0.8984965750378,447,0.22332134292565947,22562581787,INR,99.16501985080738,5.6169,INR,-91.05589171974522,0,Industrial services,
SALASAR,SALASAR TECHNO ENGG. LTD.,12.85,INR,-0.7722007722007695,3830199,0.3574033341161895,22534352270,INR,38.64661654135338,0.3325,INR,17.699115044247804,0.153257,Producer manufacturing,
TECHLABS,TRIDENT TECHLABS LTD,1490,INR,-2.7383400241522273,62875,0.5591995553085047,22417000000,INR,161.7121957043163,9.2139,INR,,0,Distribution services,
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,508.95,INR,-2.964728312678744,52763,0.2820404541469777,22397210770,INR,66.87910643889619,7.61,INR,-17.691467384838347,0.220527,Finance,Strong buy
SDBL,SOM DIST & BREW LTD,110.6,INR,-1.566393734425067,640956,0.5200814303821598,22303652542,INR,23.620365624466082,4.6824,INR,18.188702105103744,0,Consumer non-durables,
VIMTALABS,VIMTA LABS LTD,947.55,INR,-3.3753122928669783,36341,0.32384634029842235,22267702531,INR,42.6056654676259,22.24,INR,21.001088139281826,0.199511,Commercial services,
WINDLAS,WINDLAS BIOTECH LTD,1007.5,INR,-0.8414940209635309,56551,2.057237856872617,22252136966,INR,34.4218495893294,29.2692,INR,32.22383346659982,0.518061,Health technology,
IGARASHI,IGARASHI MOTORS INDIA LTD,688.75,INR,-0.9135376204862642,39650,1.1611731802673773,22221383934,INR,95.73684356843012,7.1942,INR,90.99984070514525,0.141643,Producer manufacturing,
SBGLP,SURATWWALA BUS GROUP LTD,122.89,INR,-2.68451061133988,111217,0.2454881343833263,22162621928,INR,129.63080168776372,0.948,INR,165.24902070509233,0,Finance,
PANAMAPET,PANAMA PETROCHEM LTD,365,INR,-0.8421624558543936,16504,0.5693606422211376,22004548001,INR,11.231011129470481,32.4993,INR,1.460437381952131,1.64948,Process industries,
PARAGMILK,PARAG MILK FOODS LTD.,178.3,INR,-2.2531659448495067,339195,0.8446035956938527,21962568512,INR,22.01234567901235,8.1,INR,23.287671232876704,0.27137,Consumer non-durables,Strong buy
DOLATALGO,DOLAT ALGOTECH LTD,113.9,INR,-5.083333333333329,451792,1.4217968015614237,21947199463,INR,8.087018879177524,14.0843,INR,197.6646377546707,0.280674,Finance,
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,393.8,INR,0.012698412698415585,43246,0.902839248434238,21927403570,INR,15.813355820583867,24.903,INR,17.163020465772757,0,Producer manufacturing,
KERNEX,KERNEX MICROSYS(I) LTD,1190,INR,-4.3715846994535585,65795,0.7120139296957262,21762109859,INR,,-6.3551,INR,47.69594166399183,0,Electronic technology,
